Object Histogram:

Size	Count	Class description
-------------------------------------------------------
29983736	43590	byte[]
12320656	219038	org.jruby.RubyHash$RubyHashEntry[]
10814576	180545	org.jruby.runtime.builtin.IRubyObject[]
10513536	219032	org.jruby.RubyHash
10276512	321141	org.jruby.RubyHash$RubyHashEntry
9189968	73291	* ConstMethodKlass
8086592	252706	org.jruby.util.ByteList
8014304	250447	org.jruby.RubyString
7121760	178044	org.jruby.RubyArray
6054784	241946	java.lang.Object[]
6045120	188910	org.jruby.RubyFixnum
5242848	218452	rubyobj.RDFS.Resource
4467768	106878	* SymbolKlass
4112752	73291	* MethodKlass
4085736	8551	* InstanceKlassKlass
3983440	8551	* ConstantPoolKlass
3505136	219071	java.util.concurrent.atomic.AtomicInteger
3168016	7743	int[]
2725824	37996	char[]
2601872	8375	* ConstantPoolCacheKlass
1963080	49077	org.jruby.runtime.scope.ThreeVarDynamicScope
924792	38533	java.lang.String
850176	8856	java.lang.Class
748400	12385	short[]
551576	12531	* System ObjArray
531800	13295	java.util.WeakHashMap$Entry
437904	18246	java.util.ArrayList
427200	2670	org.jruby.MetaClass
393624	16401	java.util.concurrent.ConcurrentHashMap$HashEntry
335680	2098	org.jruby.IncludedModuleWrapper
313104	13046	org.jruby.ast.ArrayNode
313056	13044	org.jruby.runtime.callsite.NormalCachingCallSite
277584	11566	org.jruby.ast.LocalVarNode
270352	16897	org.jruby.lexer.yacc.SimpleSourcePosition
241968	15123	org.jruby.ast.NewlineNode
218616	9109	org.jruby.runtime.callsite.FunctionalCachingCallSite
205128	2849	org.jruby.internal.runtime.methods.InterpretedMethod
196800	6150	org.jruby.ast.CallOneArgNode
194976	2708	org.jruby.internal.runtime.methods.DefaultMethod
166608	1501	java.util.HashMap$Entry[]
158976	3312	org.jruby.parser.LocalStaticScope
154352	3131	java.util.concurrent.ConcurrentHashMap$HashEntry[]
151840	2346	java.util.WeakHashMap$Entry[]
149664	4677	org.jruby.ast.CallNoArgNode
133368	5557	java.util.HashMap$Entry
128448	4014	java.lang.ref.SoftReference
112560	2345	java.util.WeakHashMap
106736	6294	boolean[]
106680	5605	org.jruby.runtime.CallSite[]
106384	4446	java.lang.String[]
97280	3040	org.jruby.RubyFloat
95200	2975	java.util.concurrent.ConcurrentHashMap$Segment
94088	619	org.jruby.RubyClass
91512	3813	org.jruby.ast.StrNode
86880	3620	org.jruby.ast.LocalAsgnNode
85344	1524	org.jruby.parser.BlockStaticScope
85264	5329	org.jruby.runtime.callsite.CacheEntry
81680	2042	java.util.concurrent.ConcurrentHashMap
81168	267	* ObjArrayKlassKlass
78912	2466	org.jruby.RubySymbol
76032	2376	java.lang.ref.ReferenceQueue
75936	3164	java.util.Hashtable$Entry
74536	1331	org.jruby.internal.runtime.methods.AliasMethod
73416	3059	java.util.concurrent.locks.ReentrantLock$NonfairSync
70144	1096	java.lang.reflect.Constructor
69720	2905	org.jruby.ast.DVarNode
67680	2820	org.jruby.ast.FixnumNode
66816	2784	org.jruby.ast.IfNode
65784	2741	org.jruby.ast.ConstNode
65520	390	org.joni.Regex
63760	1594	org.jruby.runtime.scope.TwoVarDynamicScope
61872	1289	org.jruby.runtime.InterpretedBlock
61080	2545	rubyobj.CardinalityBasedTransitionSelectionAlgorithm
61080	2545	rubyobj.XNode
59184	2466	org.jruby.RubySymbol$SymbolTable$SymbolEntry
58520	1463	org.jruby.ast.CallOneArgFixnumNode
54240	1356	java.util.HashMap
53712	2238	org.jruby.ast.InstVarNode
52992	828	org.jruby.ast.ArgsNoArgNode
52736	2751	java.lang.Class[]
51800	1295	org.jruby.runtime.Frame
51520	805	org.jruby.ast.ArgsPreOneArgNode
50688	1584	org.jruby.internal.runtime.methods.DynamicMethod$NativeCall
50200	1255	org.jruby.runtime.Binding
48400	605	java.lang.reflect.Method
47832	1993	org.jruby.ast.ArgumentNode
46336	724	org.jruby.ast.ArgsNode
46176	2886	org.jruby.ast.BlockNode
45864	1911	org.jruby.ast.DAsgnNode
45264	446	java.util.Hashtable$Entry[]
44160	1380	java.util.LinkedHashMap$Entry
43200	300	org.joni.ByteCodeMachine
42240	2640	org.jruby.internal.runtime.methods.DefaultMethod$DynamicMethodBox
40160	1255	org.jruby.runtime.Block
38912	1216	org.jruby.ast.IterNode
